"hscode"	"Duty"	"import_euro_kg"	"anti-dumping"	"description_hscode"	"description_en_chinois"	"date_search"	"lien"
"8466922000"	" 1,2 %          "	"7.04"		"Section XVI - (Chapters 84 & 85) - Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles / NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF / Parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465, including work or tool holders, self-opening dieheads, dividing heads and other special attachments for the machines; tool holders for any type of tool for working in the hand / - Other / - - For machines of heading 8465 / - - - Of cast iron or cast steel / "	"第十六节-（第84章和第85章）-机械和机械装置；电气设备；其部分；录音机和放音机、电视图像和录音机和放音机，以及此类物品/核反应堆、锅炉、机械和机械装置的零件和附件；其零件/仅适用于或主要适用于第8456品目至第8465品目机器的零件和附件，包括工件或刀架、自开模头、分度头和机器的其他特殊附件；品目8465/-的铸铁或铸钢机器用任何类型手持工具的刀架/"	"20220701"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=8466922000&country=29422&trade=0&cssfile=tarbro&date=20220701&lang=EN&page=1"
"7117190090"	" 4 %          "	"58.1"		"Section XIV - (Chapter 71) - Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin / NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN / I. NATURAL OR CULTURED PEARLS AND PRECIOUS OR SEMI-PRECIOUS STONES / II. PRECIOUS METALS AND METALS CLAD WITH PRECIOUS METAL / III. JEWELLERY, GOLDSMITHS  AND SILVERSMITHS  WARES AND OTHER ARTICLES / Imitation jewellery / - Of base metal, whether or not plated with precious metal / - - Other / - - - Other / "	"第十四节-（第71章）-天然或人工养殖的珍珠、宝石或半宝石、贵金属、包贵金属的金属及其制品；仿珠宝；硬币/天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属的金属及其制品；仿珠宝；硬币/I.天然或养殖珍珠和宝石或半宝石/II。贵金属和覆有贵金属的金属/III.珠宝、金匠和银匠器具及其他物品/仿珠宝/-贱金属制，不论是否镀有贵金属/-其他/-其他/"	"20220701"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7117190090&country=29422&trade=0&cssfile=tarbro&date=20220701&lang=EN&page=1"
"0813100000"	" 5,6 %          "	"15.69"		"Section II - (Chapters 06...14) - Vegetable products / EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS / Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter / - Apricots / "	"第二节-（第06…14章）-蔬菜产品/可食用水果和坚果；柑橘类水果或西瓜/水果的果皮，干燥，品目0801至0806除外；本章坚果或干果的混合物/-杏子/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=0813100000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"1211200000"	" 0 %          "	"26.47"		"Section II - (Chapters 06...14) - Vegetable products / OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER / Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered / - Ginseng roots / "	"第二节-（第06…14章）-蔬菜产品/油籽和含油水果；杂粮、种子和水果；工业或药用植物；稻草和饲料/植物及其部分（包括种子和水果），主要用于香料、制药或杀虫、杀菌或类似用途，新鲜、冷冻、冷冻或干燥，无论是否切割、压碎或制成粉末/人参根/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=1211200000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"2206001000"	" 1,3 EUR / % vol/hl  MIN 7,2 EUR / hl          "	"0"		"Section IV - (Chapters 16...24) - Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body / BEVERAGES, SPIRITS AND VINEGAR / Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included / - Piquette / "	"第四节-（第16…24章）-制备食品；饮料、烈酒和醋；烟草和人造烟草替代品；拟吸入而不燃烧的产品，不论是否含有尼古丁；旨在将尼古丁摄入人体的其他含尼古丁的产品/饮料、烈酒和醋/其他发酵饮料（例如，苹果酒、perry、mead、saké）；发酵饮料的混合物以及发酵饮料和非酒精饮料的混合物，未在其他地方指定或包括/-皮奎特/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=2206001000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"2806200000"	" 5,5 %          "	"0"		"Section VI - (Chapters 28...38) - Products of the chemical or allied industries / INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES / I. CHEMICAL ELEMENTS / II. INORGANIC ACIDS AND INORGANIC OXYGEN COMPOUNDS OF NON-METALS / Hydrogen chloride (hydrochloric acid); chlorosulphuric acid / - Chlorosulphuric acid / "	"第六节-（第28…38章）-化学或相关行业的产品/无机化学品；贵金属、稀土金属、放射性元素或同位素的有机或无机化合物/I.化学元素/II。非金属/氯化氢（盐酸）的无机酸和无机氧化合物；氯硫酸/-氯硫酸/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=2806200000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"3203009000"	" 2,5 %          "	"24.29"		"Section VI - (Chapters 28...38) - Products of the chemical or allied industries / TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS / Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in note 3 to this chapter based on colouring matter of vegetable or animal origin / - Colouring matter of animal origin and preparations based thereon / "	"第六节-（第28…38章）-化学或相关行业的产品/鞣制或染色提取物；单宁及其衍生物；染料、颜料和其他色素；色漆和清漆；油灰和其他胶泥；植物或动物来源的油墨/色素（包括染色提取物，但不包括动物黑），无论是否化学定义；本章注释3中规定的基于植物或动物源性色素的制剂/-动物源性色素及其制剂/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=3203009000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"4807008000"	" 0 %          "	"2.47"		"Section X - (Chapters 47...49) - Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof / PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD / Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets / - Other / "	"第十节-（第47…49章）-木材或其他纤维纤维素材料的纸浆；回收（废）纸或纸板；纸和纸板及其制品/纸和纸板；纸浆、纸或纸板/复合纸和纸板制品（用粘合剂将纸或纸板的平层粘在一起制成），未经表面涂层或浸渍，无论是否内部加固，成卷或成张/-其他/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=4807008000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"4808900000"	" 0 %          "	"2.17"		"Section X - (Chapters 47...49) - Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof / PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD / Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading 4803 / - Other / "	"第十节-（第47…49章）-木材或其他纤维纤维素材料的纸浆；回收（废）纸或纸板；纸和纸板及其制品/纸和纸板；纸或纸板/纸和纸板制成的纸浆制品，瓦楞纸（带或不带胶合平板），起皱、起皱、压花或穿孔，成卷或成张，品目4803所述纸张除外/-其他/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=4808900000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"5202100000"	" 0 %          "	"2.77"		"Section XI - (Chapters 50...63) - Textiles and textile articles / COTTON / Cotton waste (including yarn waste and garnetted stock) / - Yarn waste (including thread waste) / "	"第XI节-（第50…63章）-纺织品和纺织品/棉花/棉花废料（包括纱线废料和石榴石料）/-纱线废料（包括纱线废料）/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=5202100000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
"4012120010"	" 4,5 %          "	"2.99"	"anti-dumping"	"Section VII - (Chapters 39 & 40) - Plastics and articles thereof; rubber and articles thereof / RUBBER AND ARTICLES THEREOF / Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber / - Retreaded tyres / - - Of a kind used on buses or lorries / - - - With a load index exceeding 121 / "	"第七节-（第39章和第40章）-塑料及其制品；橡胶及其制品/橡胶及其制品/翻新或使用过的充气橡胶轮胎；载重指数超过121的公共汽车或卡车用橡胶/翻新轮胎制的实心或缓冲轮胎、轮胎胎面和轮胎挡片/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=4012120010&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"8508600000"	" 1,7 %          "	"8.38"		"Section XVI - (Chapters 84 & 85) - Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles / ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES / Vacuum cleaners / - Other vacuum cleaners / "	"第十六节-（第84章和第85章）-机械和机械装置；电气设备；其部分；录音机和放音机、电视图像和声音录音机和放音机，以及此类物品/电机和设备及其零件和附件；录音机和放音机、电视图像和声音录音机和放音机，以及此类物品/真空吸尘器/其他真空吸尘器的零件和附件/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=8508600000&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"7219121000"	" 0 %          "	"2.26"	"anti-dumping"	"Section XV - (Chapters 72...83) - Base metals and articles of base metal / IRON AND STEEL / I. PRIMARY MATERIALS; PRODUCTS IN GRANULAR OR POWDER FORM / II. IRON AND NON-ALLOY STEEL / III. STAINLESS STEEL / Flat-rolled products of stainless steel, of a width of 600 mm or more / - Not further worked than hot-rolled, in coils / - - Of a thickness of 4,75 mm or more but not exceeding 10 mm / - - - Containing by weight 2,5 % or more of nickel / "	"第十五节-（第72…83章）-贱金属和贱金属/钢铁制品/I.原材料；粒状或粉末状产品/II。铁和非合金钢/III.不锈钢/不锈钢扁轧产品，宽度600 mm或以上/-热轧后未进一步加工，成卷，厚度4.75 mm或以上，但不超过10 mm/-含镍（按重量计）2.5%或以上/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7219121000&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"4810991020"	" 0 %          "	"1.09"	"anti-dumping"	"Section X - (Chapters 47...49) - Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof / PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD / Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size / - Other paper and paperboard / - - Other / - - - Bleached paper and paperboard, coated with kaolin / - - - - With a weight of 70 g/m2 or more but not more than 400 g/m2 and brightness of more than 84 (measured according to ISO 2470-1), excluding rolls suitable for use in web-fed presses / "	"第十节-（第47…49章）-木材或其他纤维纤维素材料的纸浆；回收（废）纸或纸板；纸和纸板及其制品/纸和纸板；纸浆、纸或纸板/纸和纸板制品，单面或双面涂有高岭土（瓷土）或其他无机物质，有或无粘合剂，无其他涂层，无论是否表面着色、表面装饰或印刷，成卷或矩形（包括方形）薄片，任何尺寸/-其他纸和纸板/-其他/-漂白纸和纸板，涂有高岭土/-，重量为70 g/m2或以上，但不超过400 g/m2，亮度超过84（根据ISO 2470-1测量），不包括适合在卷筒纸印刷机中使用的辊/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=4810991020&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"6911100010"	" 12 %          "	"2.27"		"Section XIII - (Chapters 68...70) - Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware / CERAMIC PRODUCTS / I. GOODS OF SILICEOUS FOSSIL MEALS OR OF SIMILAR SILICEOUS EARTHS, AND REFRACTORY GOODS / II. OTHER CERAMIC PRODUCTS / Tableware, kitchenware, other household articles and toilet articles, of porcelain or china / - Tableware and kitchenware / - - Condiment or spice mills and their ceramic grinding parts, coffee mills, knife sharpeners, sharpeners, kitchen tools to be used for cutting, grinding, grating, slicing, scraping and peeling, cordierite ceramic pizza-stones of a kind used for baking pizza or bread / "	"第十三节-（第68…70章）-石头、灰泥、水泥、石棉、云母或类似材料制品；陶瓷制品；玻璃和玻璃器皿/陶瓷制品/I.硅质化石粉或类似硅质土制品，以及耐火制品/II。其他陶瓷产品/陶瓷或瓷器制餐具、厨房用具、其他家居用品和盥洗用品/-餐具和厨房用具/-调味品或香料磨坊及其陶瓷研磨部件、咖啡磨坊、磨刀器、磨刀器、用于切割、研磨、磨光、切片、刮削和剥皮的厨房工具，用于烘烤比萨饼或面包的堇青石陶瓷比萨饼石/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=6911100010&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"8714109090"	" 3,7 %          "	"11.28"		"Section XVII - (Chapters 86...89) - Vehicles, aircraft, vessels and associated transport equipment / VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF / Parts and accessories of vehicles of headings 8711 to 8713 / - Of motorcycles (including mopeds) / - - Other / - - - Other / "	"第XVII节-（第86…89章）-车辆、飞机、船舶和相关运输设备/铁路或有轨电车以外的车辆及其零部件和附件/第8711至8713品目车辆的零部件和附件/-摩托车（包括轻便摩托车）/-其他/-其他/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=8714109090&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"6405909000"	" 4 %          "	"18.49"		"Section XII - (Chapters 64...67) - Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair / FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES / Other footwear / - Other / - - With outer soles of other materials / "	"第十二节-（第64…67章）-鞋类、头饰、雨伞、太阳伞、手杖、座椅杖、鞭子、马鞭及其零件；准备好的羽毛及其制品；人造花；人发/鞋、绑腿等物品；此类物品/其他鞋类/-其他/-外底为其他材料的部件/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=6405909000&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"6911100090"	" 12 %          "	"2.27"	"anti-dumping"	"Section XIII - (Chapters 68...70) - Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware / CERAMIC PRODUCTS / I. GOODS OF SILICEOUS FOSSIL MEALS OR OF SIMILAR SILICEOUS EARTHS, AND REFRACTORY GOODS / II. OTHER CERAMIC PRODUCTS / Tableware, kitchenware, other household articles and toilet articles, of porcelain or china / - Tableware and kitchenware / - - Other / "	"第十三节-（第68…70章）-石头、灰泥、水泥、石棉、云母或类似材料制品；陶瓷制品；玻璃和玻璃器皿/陶瓷制品/I.硅质化石粉或类似硅质土制品，以及耐火制品/II。其他陶瓷制品/陶瓷或瓷器制餐具、厨房用具、其他家居用品和卫生间用品/-餐具和厨房用具/-其他/"	"20220624"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=6911100090&country=29422&trade=0&cssfile=tarbro&date=20220624&lang=EN&page=1"
"7405000000"	" 0 %          "	"12.25"		"Section XV - (Chapters 72...83) - Base metals and articles of base metal / COPPER AND ARTICLES THEREOF / Master alloys of copper / "	"第十五节-（第72…83章）-贱金属和贱金属制品/铜及其制品/铜母合金/"	"2022-07-05"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7405000000&country=29422&trade=0&cssfile=tarbro&date=2022-07-05&lang=EN&page=1"
